Donor_Name,Donation_Amount,Distribution_Date,Recipient_Name
David Luna,492,2023-04-22,Ruben Graham
Brenda Walker,695,2022-09-24,Sarah Kelley
Bradley Robinson,149,2022-04-22,Cynthia Palmer
Kirk Woods Jr.,402,2021-10-19,Michele Stewart
Lori Gilbert,241,2022-11-27,Eric Hale
Randall Wilcox,456,2023-07-06,Dennis James
Jason Boyd,179,2023-03-08,Shannon Moses
Ashley Marsh,197,2022-03-28,Karen Gates
Kristen Webb,439,2022-06-30,Cassandra Russell
Jacob Grant,709,2023-08-03,Natalie Manning
Cheryl Shepherd,141,2023-04-18,Marcus Kerr
Christopher Crawford,120,2022-10-29,Dana Gomez
Paul Chandler,481,2022-05-13,Jason Harris
Holly Peterson,856,2023-02-05,Mrs. Brenda Mullins
Timothy Moore,502,2022-11-19,Charles Ingram
Sandra Potts,303,2022-01-02,Jeffery Nguyen
Linda Edwards,405,2023-04-14,Bruce Brown
Melissa Lewis,279,2022-06-24,Melissa Patrick
Kimberly Murphy,686,2022-01-02,Chelsea Cherry
William Thomas,414,2023-03-05,Thomas Mcknight
Cheryl Anderson,399,2021-09-19,Stacy Mcdonald
Shirley Hopkins,228,2023-05-12,Latoya Ross
April Benson,419,2023-02-05,Katie Carter
Joseph Bonilla,363,2022-08-02,Erika Wade
Nancy Watson,431,2023-06-26,Tiffany Figueroa
Brendan Miller,546,2022-09-09,Cynthia Palmer
Logan Brady,269,2022-04-14,Anita Briggs
Joseph Allison,135,2023-01-02,Stanley Price
Nicholas Torres,552,2021-12-29,Erik Williams
Tracey Stevenson,578,2022-04-02,Cynthia Summers
Diamond Skinner,398,2023-02-17,James Arnold
Steven Kline,452,2022-05-26,Mark Thompson
Stephanie Stone,189,2022-03-01,Jesse Pearson
Elizabeth Alvarez,493,2022-03-31,Travis Acosta
Richard Olson,309,2021-10-12,Gregory Holt
Andrew Price,745,2022-09-28,Benjamin Spencer
Brittney Brown,287,2023-08-10,Amber Robinson
Aaron Ramos,552,2022-02-01,Mary Adkins
Mary Jackson,809,2021-11-30,Miranda Wheeler
Kelly Tapia,468,2023-06-17,Richard Vance
Laura Black,940,2021-11-15,Brittany Sweeney
Omar Holmes,708,2022-11-26,Tammy Shannon
Lisa Herrera,336,2022-11-05,Elizabeth Grimes
Michael Hardy,41,2023-01-30,Mr. William Smith
Mrs. Stacey Brown MD,844,2022-07-20,Gregory Holt
Patrick Martin,761,2023-01-30,Megan Pineda
Scott Ponce,358,2022-11-08,Penny Taylor
Emma Smith,450,2022-01-05,Luis Valdez
Carly Reed,330,2022-03-30,Kelsey Gill
Michael Rios,597,2023-01-24,Donald Nguyen
Justin Turner,955,2023-02-21,Juan Johnson
Megan Reynolds,265,2021-10-18,Chelsea Cherry
James Schmidt,998,2023-02-28,Mike Fischer
Cody Dyer,400,2021-12-29,Sandra Martinez
Holly Martin,320,2022-04-29,Latoya Ross
Tanya Michael,676,2023-03-02,Valerie Lin
Bradley Hood,696,2021-11-05,Sara Johnson
Daniel Moody,503,2023-05-29,Mallory Crawford
Michael Moore,731,2021-09-11,Mr. Greg Martinez
